INDEX,Rank,Institution Name,Country,Classification,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,International Research Network,,Employment Outcomes,,Sustainability,,Overall Score,Web Links
78,78,University of Glasgow,United Kingdom,Extra Large,Full Comprehensive,Very High,77.4,75,67.7,110,38,418,32.5,405,95.7,141,99.4,49,97.6,30,33.5,378,98.5,20,65,https://www.gla.ac.uk/
79,79,Brown University,United States,Medium,Full Comprehensive,Very High,59.9,123,49.6,180,77.7,151,76.4,130,79.9,239,50.9,289,83.2,277,63.6,186,46.6,333,64.7,https://www.brown.edu/
80,80,University of Birmingham,United Kingdom,Extra Large,Full Comprehensive,Very High,68.9,94,69,105,39,402,40.5,348,92.6,171,89.3,127,97.5,31,44.5,285,96.8,35,64.1,https://www.birmingham.ac.uk/
81,80,University of Southampton,United Kingdom,Large,Full Comprehensive,Very High,50.1,161,44.3,208,40.7,385,83.4,100,92.5,173,98,70,97.1,40,49.2,261,96.9,34,64.1,https://www.southampton.ac.uk/
82,82,The University of Adelaide,Australia,Large,Full Comprehensive,Very High,56,138,38.9,242,17.9,701+,87,86,100,78,99.3,53,93.6,108,51.5,246,95.7,49,63.8,https://www.adelaide.edu.au/
83,82,University of Leeds,United Kingdom,Extra Large,Full Comprehensive,Very High,70.5,91,75.9,83,36.4,438,39.8,355,82.5,230,88.5,132,98.8,14,50.9,251,71.8,211,63.8,https://www.leeds.ac.uk/
84,84,Ruprecht-Karls-Universität Heidelberg,Germany,Large,Focused,Very High,76.9,76,59.4,136,99.4,32,32.7,401,54.2,346,53.6,275,94.5,88,25.2,463,77.6,170,63.7,https://www.uni-heidelberg.de/en
85,84,Tokyo Institute of Technology (Tokyo Tech),Japan,Medium,Focused,Very High,75.1,80,94.1,37,84.1,114,43.1,320,23.4,556,30.5,424,61.2,613,23.7,475,62.2,254,63.7,https://www.titech.ac.jp/english/
86,86,Osaka University,Japan,Large,Full Comprehensive,Very High,82.4,64,87,58,45.2,343,54.9,232,23.9,549,12.2,675,68.2,512,33,387,68,228,63.5,https://www.osaka-u.ac.jp/en
87,87,"Trinity College Dublin, The University of Dublin",Ireland,Large,Full Comprehensive,Very High,69.5,93,47.4,195,20.2,668,58.4,210,99.3,101,88,133,91.3,153,88.6,83,57.7,276,62.9,https://www.tcd.ie/
88,88,University of Technology Sydney,Australia,Large,Comprehensive,Very High,43.9,194,55,153,9.8,701+,97.7,39,96.6,133,86,145,91.4,150,40.2,318,96.3,43,62.4,https://www.uts.edu.au/
89,89,Durham University,United Kingdom,Large,Full Comprehensive,Very High,59.6,126,83.9,65,26.3,567,40.9,342,97.3,125,84.9,153,89.7,172,39.4,326,98.6,19,61.7,https://www.durham.ac.uk/
90,89,Pennsylvania State University,United States,Extra Large,Full Comprehensive,Very High,76.6,77,64.5,121,25,592,55.4,226,25.1,533,28,446,97.9,28,61.9,193,96.5,37,61.7,https://www.psu.edu/
91,89,Purdue University,United States,Extra Large,Full Comprehensive,Very High,63.3,107,81.1,71,11.4,701+,54.3,235,79.6,242,45.2,325,92.9,123,63.1,188,90.1,93,61.7,https://www.purdue.edu/
92,92,Universidade de São Paulo,Brazil,Extra Large,Full Comprehensive,Very High,92.8,40,74.6,87,21.4,646,28.5,456,6.8,701+,2.1,701+,95.9,60,97.9,27,93.6,67,61.6,https://www.usp.br/
93,93,Pontificia Universidad Católica de Chile (UC),Chile,Large,Full Comprehensive,Very High,93.7,37,98,21,23.7,614,8.8,701+,26,524,3.7,701+,82.5,285,99.9,12,79.3,159,61.5,https://www.uc.cl/
94,94,Lomonosov Moscow State University,Russia,Extra Large,Full Comprehensive,Very High,78,73,82.3,70,99.7,30,4.1,701+,19.7,604,91.5,114,88.1,196,95.8,47,3.5,701+,61.4,https://www.msu.ru/en/
95,94,Universidad Nacional Autónoma de México (UNAM),Mexico,Extra Large,Full Comprehensive,Very High,97,28,94.4,35,37.4,430,2.4,701+,7.5,701+,2.3,701+,93.2,112,93.2,62,83.4,136,61.4,https://www.unam.mx/
96,96,University of Alberta,Canada,Extra Large,Full Comprehensive,Very High,57,136,42.2,222,39.1,400,61.3,194,98.3,116,71,207,96,55,70,159,97.6,28,61.2,https://www.ualberta.ca/
97,97,Freie Universitaet Berlin,Germany,Large,Full Comprehensive,Very High,80.3,71,56.9,143,5,701+,71.7,150,62.4,314,43.7,330,93.1,113,32.8,389,31.3,435,60.6,https://www.fu-berlin.de/en/index.html
98,98,Pohang University of Science And Technology (POSTECH),South Korea,Small,Focused,Very High,45.9,178,80,76,99.9,24,96.9,45,27.6,511,2.7,701+,26.6,701+,11,701+,36.6,393,60.3,https://www.postech.ac.kr/
99,99,RWTH Aachen University,Germany,Extra Large,Full Comprehensive,Very High,46.6,173,93.7,41,6.3,701+,71.9,149,48.6,373,85.5,149,86.1,233,33.4,379,84.8,127,59.9,https://www.rwth-aachen.de/go/id/a/?lidx1
100,100,University of Copenhagen,Denmark,Extra Large,Full Comprehensive,Very High,74,83,31.6,299,99.8,27,23.1,519,84.9,221,15.6,613,98.2,22,90.8,72,73.2,198,59.6,https://www.ku.dk/english/
101,101,King Fahd University of Petroleum & Minerals,Saudi Arabia,Medium,Focused,Very High,38,226,46.5,198,86,101,78,121,100,26,47.6,307,73.9,422,97.8,28,20.1,530,59.5,https://www.kfupm.edu.sa/
102,102,"KIT, Karlsruhe Institute of Technology",Germany,Large,Comprehensive,Very High,44.9,188,80.9,74,39.4,395,68.4,160,70.5,282,42.9,337,86.4,225,50.8,252,75.3,184,59.4,https://www.kit.edu/english/
103,103,Uppsala University,Sweden,Large,Full Comprehensive,Very High,61.4,115,33.7,277,52,292,42.3,326,99.4,99,81.1,170,96.7,49,68.4,171,99.2,11,59.3,https://www.uu.se/en
104,104,University of St Andrews,United Kingdom,Medium,Focused,Very High,46.5,174,63.2,126,64.7,206,49.2,272,98.4,113,100,29,83.8,266,18.5,594,91.1,86,59.2,https://www.st-andrews.ac.uk/
105,105,The University of Sheffield,United Kingdom,Large,Full Comprehensive,Very High,58.3,132,48.7,187,52.5,290,43.9,313,83.3,228,96.8,80,95.8,62,33.8,374,97.7,24,59.1,https://www.sheffield.ac.uk/
106,105,Utrecht University,Netherlands,Extra Large,Full Comprehensive,Very High,66.5,103,38.8,244,31,508,79.5,112,55.7,337,19.4,559,97.3,37,54.7,228,61.9,258,59.1,https://www.uu.nl/en
107,107,Tohoku University,Japan,Large,Full Comprehensive,Very High,73.8,84,82.8,67,97.8,47,23.9,510,14.1,682,11.4,689,68.3,510,22.6,507,78.6,164,58.8,https://www.tohoku.ac.jp/en/
108,108,University of Nottingham,United Kingdom,Extra Large,Full Comprehensive,Very High,61.1,117,65.8,116,32.8,481,37.6,368,89.4,194,70.5,208,98,25,38,339,97,33,58.5,https://www.nottingham.ac.uk/
109,109,Technical University of Denmark,Denmark,Medium,Focused,Very High,33.2,265,22.1,421,99.1,34,84.4,98,100,55,87.7,135,88.1,194,43.6,293,47.9,328,58.3,https://www.dtu.dk/english
110,109,University of Zurich,Switzerland,Large,Focused,Very High,59.9,124,26.4,361,92.2,78,40.1,352,100,71,42.8,338,94.3,90,88.6,84,58.7,273,58.3,https://www.uzh.ch/en.html
111,111,Politecnico di Milano,Italy,Extra Large,Focused,Very High,70.8,90,77,82,5.8,701+,40.2,351,67.4,292,56.8,262,88.1,197,52.9,239,72.6,202,58.2,https://www.polimi.it/en/
112,108,Boston University,United States,Large,Full Comprehensive,Very High,61.9,111,69.1,104,38.3,413,41.3,336,34.3,468,88.9,130,86.9,216,77.2,132,65.9,236,58.6,https://www.bu.edu/
113,113,Aalto University,Finland,Large,Focused,Very High,45.7,180,40.6,231,33.2,476,73.6,141,95.2,146,40.1,354,78.2,355,95.1,52,94.7,59,57.9,https://www.aalto.fi/en
114,114,Georgia Institute of Technology,United States,Extra Large,Comprehensive,Very High,67.1,102,82.6,68,20.3,665,52.8,243,21.3,584,66.4,224,75.5,397,43.1,298,39.5,371,57.3,https://www.gatech.edu/
115,115,University of Waterloo,Canada,Extra Large,Comprehensive,Very High,40.4,211,64.2,124,6.5,701+,78.9,118,75.8,257,71.3,206,84.6,256,58.9,209,93.3,68,57.2,https://uwaterloo.ca/
116,116,University of Wisconsin-Madison,United States,Extra Large,Full Comprehensive,Very High,77.7,74,47.8,193,74.3,170,23.7,513,35.3,454,23.6,498,91.6,149,81.6,116,59.6,269,57.1,https://www.wisc.edu/
117,117,University of Helsinki,Finland,Large,Comprehensive,Very High,62.3,110,29.1,324,59.4,246,49.6,267,73.4,272,5.7,701+,96.9,43,90.5,74,94.5,60,56.8,https://www.helsinki.fi/en
118,118,Indian Institute of Technology Bombay (IITB),India,Large,Focused,Very High,58.5,131,86,63,14.4,701+,79.1,116,4.3,701+,1.3,701+,52.3,701+,64.5,182,52.5,302,56.3,https://www.iitb.ac.in/
119,119,University of Oslo,Norway,Large,Full Comprehensive,Very High,55.6,139,16,534,73.8,175,55.7,225,91.6,180,31.7,416,97.3,35,80.9,121,72.1,208,56.1,https://www.uio.no/english/
120,120,Queen Mary University of London,United Kingdom,Large,Full Comprehensive,Very High,48.3,170,36.9,254,30.4,515,62.8,184,99.5,96,99.2,54,92.5,127,21.4,534,95.6,54,55.8,https://www.qmul.ac.uk/
121,120,Western University,Canada,Extra Large,Full Comprehensive,Very High,32.6,270,38.9,243,3.3,701+,93.4,60,99.8,94,49.5,299,81.5,296,96.7,38,99.3,10,55.8,https://www.uwo.ca/
122,122,Qatar University,Qatar,Medium,Full Comprehensive,Very High,29.8,297,50.6,175,68.1,191,48.2,277,100,24,96.5,83,89.4,177,98.6,20,74,196,55.7,https://www.qu.edu.qa/
123,123,RMIT University,Australia,Extra Large,Comprehensive,Very High,40.4,210,48,192,5.2,701+,77.7,122,100,45,91.4,116,83.2,276,38.4,334,93.9,62,55.5,https://www.rmit.edu.au/
124,123,Sungkyunkwan University(SKKU),South Korea,Large,Full Comprehensive,Very High,57.9,134,70.7,100,80.5,131,41.3,338,17.5,632,41.7,341,54.2,701+,36.5,348,79.1,161,55.5,https://www.skku.edu/eng/
125,125,University of Southern California,United States,Extra Large,Full Comprehensive,Very High,50.4,160,54.5,156,17.3,701+,58,211,26,523,74.1,192,85.8,235,92.6,66,97.7,24,55.2,https://www.usc.edu/
126,126,Humboldt-Universität zu Berlin,Germany,Extra Large,Full Comprehensive,Very High,89.2,46,69.9,102,7.4,701+,27,476,69.1,288,35.1,391,93.1,114,19,580,19.9,535,55,https://www.hu-berlin.de/en
127,126,University College Dublin,Ireland,Large,Full Comprehensive,Very High,51.4,158,43.5,210,16.6,701+,46.4,298,99.1,105,74.8,188,87.2,212,89.8,77,95.6,50,55,https://www.ucd.ie/
128,128,Stockholm University,Sweden,Large,Comprehensive,Very High,52.5,155,21,436,26.7,563,64.5,174,80.7,235,89.8,122,95.7,65,86.6,94,58.7,273,54.8,https://www.su.se/english/
129,129,Newcastle University,United Kingdom,Large,Full Comprehensive,Very High,50,164,59.3,137,39.2,399,38.7,362,89.5,193,68.6,217,97.1,42,31.3,403,97.1,30,54.5,https://www.ncl.ac.uk/
130,130,"University of California, Davis",United States,Extra Large,Full Comprehensive,Very High,63,109,48,191,23.5,617,52.5,246,72.7,275,51.3,286,90.6,163,22.8,501,76.1,178,54.4,https://www.ucdavis.edu/
